Date, Price,Share return
12/8/2020,60.07,0.027715979
13/8/2020,59.950001,-0.001997653
14/8/2020,59.959999,0.000166772
17/8/2020,60.919998,0.016010657
18/8/2020,63.049999,0.034963905
19/8/2020,63.200001,0.002379096
20/8/2020,63.099998,-0.001582326
21/8/2020,64.309998,0.019175912
24/8/2020,68.080002,0.058622362
25/8/2020,66.400002,-0.02467685
26/8/2020,68.650002,0.033885541
27/8/2020,67.540001,-0.016168987
28/8/2020,67.239998,-0.004441857
31/8/2020,67.370003,0.001933447
1/9/2020,70.5,0.046459802
2/9/2020,70.080002,-0.005957418
3/9/2020,70.099998,0.000285331
4/9/2020,70.68,0.008273923
8/9/2020,66.760002,-0.055461205
9/9/2020,69.629997,0.042989738
10/9/2020,68.889999,-0.010627575
11/9/2020,69.989998,0.01596747
14/9/2020,70.349998,0.005143592
15/9/2020,71.379997,0.014641067
16/9/2020,71.440002,0.000840642
17/9/2020,70.519997,-0.012878009
18/9/2020,72.059998,0.021837792
21/9/2020,71.349998,-0.009852901
22/9/2020,71.5,0.002102341
23/9/2020,70.980003,-0.007272685
24/9/2020,70.199997,-0.010989095
25/9/2020,70.339996,0.001994288
28/9/2020,70.599998,0.003696361
29/9/2020,71.639999,0.014730893
30/9/2020,70.900002,-0.010329383
1/10/2020,71.300003,0.005641763
2/10/2020,69.459999,-0.025806507
5/10/2020,67.800003,-0.023898589
6/10/2020,67.68,-0.001769956
7/10/2020,68.559998,0.013002335
8/10/2020,68.849998,0.004229872
9/10/2020,68.779999,-0.001016688
12/10/2020,70.25,0.021372507
13/10/2020,70.419998,0.0024199
14/10/2020,70.269997,-0.002130091
15/10/2020,69.160004,-0.015796116
16/10/2020,68.849998,-0.004482446
19/10/2020,68.709999,-0.002033391
20/10/2020,67.940002,-0.011206477
21/10/2020,67.099998,-0.012363909
22/10/2020,66.989998,-0.001639344
23/10/2020,65.599998,-0.020749366
26/10/2020,65.459999,-0.002134131
27/10/2020,68.349998,0.044149084
28/10/2020,68.050003,-0.0043891
29/10/2020,69.540001,0.021895635
30/10/2020,67.730003,-0.026028156
2/11/2020,68.730003,0.014764505
3/11/2020,70.040001,0.01906006
4/11/2020,68.480003,-0.022272958
5/11/2020,72.699997,0.061623741
6/11/2020,70.660004,-0.028060428
9/11/2020,66.300003,-0.061703945
10/11/2020,64.410004,-0.028506771
11/11/2020,63.290001,-0.01738865
12/11/2020,64.339996,0.016590219
13/11/2020,65.529999,0.01849554
16/11/2020,63.939999,-0.024263696
17/11/2020,64.150002,0.003284376
18/11/2020,64.449997,0.004676461
19/11/2020,66.82,0.03677274
20/11/2020,66.32,-0.00748279
