Date,Share return,Sentiment Score
2020-05-26,-0.014962651,0.0
2020-05-27,-0.0015578970000000001,0.200340136
2020-05-28,-0.001365301,0.0
2020-05-29,-0.007031269000000001,0.0
2020-01-06,0.019079485,0.0
2020-02-06,-0.02238948,0.0
2020-03-06,0.015794648999999997,0.0
2020-04-06,0.012439242,-0.4
2020-05-06,0.012094471,-0.2
2020-05-06,0.012094471,0.7333333329999999
2020-08-06,-0.018968133,0.1875
2020-08-06,-0.018968133,0.503787879
2020-08-06,-0.018968133,0.75
2020-09-06,0.012180916000000002,0.27572751300000004
2020-10-06,0.007449933000000001,-0.0625
2020-10-06,0.007449933000000001,0.13636363599999998
2020-10-06,0.007449933000000001,0.155
2020-10-06,0.007449933000000001,0.29441287899999996
2020-10-06,0.007449933000000001,0.46083333299999996
2020-11-06,0.021046567000000002,0.0
2020-12-06,0.028783734,0.0
2020-06-15,-0.007400721999999999,0.49166666700000006
2020-06-16,0.01291142,0.273333333
2020-06-17,0.031059227000000002,-0.1
2020-06-17,0.031059227000000002,0.725
2020-06-17,0.031059227000000002,0.808333333
2020-06-17,0.031059227000000002,1.0
2020-06-18,0.019327895,0.5
2020-06-19,0.0008541,0.0
2020-06-22,-0.0015360979999999998,0.0
2020-06-23,-0.028717949,-0.083333333
2020-06-23,-0.028717949,-0.07777777799999999
2020-06-23,-0.028717949,0.375
2020-06-23,-0.028717949,0.414962121
2020-06-23,-0.028717949,0.5625
2020-06-24,-0.006687804,0.5708333329999999
2020-06-25,-0.009036127,0.48
2020-06-25,-0.009036127,0.63
2020-06-26,0.004827481,0.215277778
2020-06-29,-0.003202865,-0.36666666700000006
2020-06-29,-0.003202865,0.5
2020-06-30,-0.0021420560000000003,0.14285714300000002
2020-06-30,-0.0021420560000000003,0.228205128
2020-06-30,-0.0021420560000000003,0.47916666700000005
2020-01-07,0.0017888729999999999,0.0
2020-02-07,0.006607125,0.0
2020-06-07,0.042753238,0.0
2020-07-07,0.014801004,0.0
2020-08-07,-0.022296764,0.6
2020-09-07,-0.007201612,-0.25
2020-09-07,-0.007201612,0.1825
2020-09-07,-0.007201612,0.23463541699999999
2020-09-07,-0.007201612,0.335
2020-10-07,-0.010535423,-0.03125
2020-10-07,-0.010535423,0.16
2020-10-07,-0.010535423,0.193863636
2020-10-07,-0.010535423,0.330966553
2020-07-13,-0.010298481,0.0
2020-07-14,-0.005467407,0.433333333
2020-07-14,-0.005467407,0.566666667
2020-07-15,0.007448165,-0.4
2020-07-15,0.007448165,0.011616162
2020-07-15,0.007448165,0.133333333
2020-07-15,0.007448165,0.1375
2020-07-15,0.007448165,0.3375
2020-07-16,-0.01513818,0.2
2020-07-17,-0.001966059,0.13636363599999998
2020-07-17,-0.001966059,0.5
2020-07-17,-0.001966059,0.8
2020-07-20,-0.010207736,0.44541666700000004
2020-07-21,0.003980496,-0.0934
2020-07-21,0.003980496,-0.008333333
2020-07-21,0.003980496,0.2875
2020-07-21,0.003980496,0.370833333
2020-07-22,-0.00432514,0.91
2020-07-23,-0.004524887,-0.194642857
2020-07-24,0.004727236,-0.166666667
2020-07-27,0.024249006,0.0
2020-07-28,-0.009540583,0.318333333
2020-07-28,-0.009540583,0.8
2020-07-29,0.014270423999999999,0.24600000000000002
2020-07-29,0.014270423999999999,0.332186147
2020-07-29,0.014270423999999999,0.575
2020-07-30,-0.008617692,0.35696969700000003
2020-07-30,-0.008617692,0.36666666700000006
2020-07-31,-0.024126326,0.1125
2020-07-31,-0.024126326,0.2
2020-03-08,0.017269606,0.0
