Rating,Datadate,Content,Words,BOW,Sentiment Score
5.0,2020-01-02,"Santa brought the Switch for our daughter for Christmas this year and we couldn’t be happier! (: Her grandparents got her a game for it in the little chip form and she has a free game that we downloaded for her as well and she seems pretty content with that selection so far. I had read reviews before we bought the Switch that people didn’t like the account set up and what not but we have not had issues because we only have 1 Switch and probably only will ever have 1. Also we have not noticed any problems with the control sticks yet. That was another issue that scared us a little about this Switch. Overall, so far, i’d Say it’s a great product and worth the money. Plus the color is outstanding! It’s a crazy vibrant yellow like we had hoped.","['santa', 'brought', 'switch', 'daughter', 'christmas', 'year', 'happier', 'grandparent', 'got', 'game', 'little', 'chip', 'form', 'free', 'game', 'downloaded', 'well', 'seems', 'pretty', 'content', 'selection', 'far', 'read', 'review', 'bought', 'switch', 'people', 'like', 'account', 'set', 'issue', 'switch', 'probably', 'ever', 'also', 'noticed', 'problem', 'control', 'stick', 'yet', 'another', 'issue', 'scared', 'u', 'little', 'switch', 'overall', 'far', 'say', 'great', 'product', 'worth', 'money', 'plus', 'color', 'outstanding', 'crazy', 'vibrant', 'yellow', 'like', 'hoped']","{'like': 2, 'daughter': 1, 'noticed': 1, 'yellow': 1, 'happier': 1, 'control': 1, 'set': 1, 'game': 2, 'outstanding': 1, 'hoped': 1, 'great': 1, 'u': 1, 'stick': 1, 'selection': 1, 'far': 2, 'color': 1, 'crazy': 1, 'ever': 1, 'account': 1, 'christmas': 1, 'little': 2, 'problem': 1, 'plus': 1, 'vibrant': 1, 'money': 1, 'probably': 1, 'also': 1, 'form': 1, 'seems': 1, 'grandparent': 1, 'read': 1, 'switch': 4, 'review': 1, 'year': 1, 'issue': 2, 'pretty': 1, 'scared': 1, 'content': 1, 'yet': 1, 'another': 1, 'downloaded': 1, 'say': 1, 'chip': 1, 'overall': 1, 'free': 1, 'brought': 1, 'people': 1, 'worth': 1, 'bought': 1, 'got': 1, 'product': 1, 'santa': 1, 'well': 1}",0.05686274509803921
4.0,2020-01-03,I was disappointed to find out the saves for the games were on the system not the game cartridge because I bought a second pokemon shield to find it used the same save as my first game wasting money on a extra game I didn't need but otherwise I like it better than all my other Nintendo handhelds,"['disappointed', 'find', 'save', 'game', 'system', 'game', 'cartridge', 'bought', 'second', 'pokemon', 'shield', 'find', 'used', 'save', 'first', 'game', 'wasting', 'money', 'extra', 'game', 'need', 'otherwise', 'like', 'better', 'nintendo', 'handhelds']","{'disappointed': 1, 'nintendo': 1, 'like': 1, 'cartridge': 1, 'game': 4, 'save': 2, 'extra': 1, 'otherwise': 1, 'better': 1, 'first': 1, 'money': 1, 'wasting': 1, 'handhelds': 1, 'system': 1, 'second': 1, 'used': 1, 'shield': 1, 'bought': 1, 'pokemon': 1, 'find': 2, 'need': 1}",-0.13249999999999998
5.0,2020-01-03,This was a Christmas gift for our son. He loved it. He has played  for hours. The console is just the right size. The screen color and clarity is remarkable. It is very comfortable in your hands.,"['christmas', 'gift', 'son', 'loved', 'played', 'hour', 'console', 'right', 'size', 'screen', 'color', 'clarity', 'remarkable', 'comfortable', 'hand']","{'screen': 1, 'right': 1, 'size': 1, 'color': 1, 'hour': 1, 'console': 1, 'played': 1, 'loved': 1, 'hand': 1, 'christmas': 1, 'remarkable': 1, 'clarity': 1, 'gift': 1, 'comfortable': 1, 'son': 1}",0.5639285714285714
5.0,2020-01-03,"A gift for the wife. Great size and she loves the color. The mobility is the best feature for someone who doesn’t like to sit in front of a tv a lot. Being a Nintendo product, I gotta say that this is the best Game Boy ever! Lol","['gift', 'wife', 'great', 'size', 'love', 'color', 'mobility', 'best', 'feature', 'someone', 'like', 'sit', 'front', 'tv', 'lot', 'nintendo', 'product', 'got', 'ta', 'say', 'best', 'game', 'boy', 'ever', 'lol']","{'lot': 1, 'nintendo': 1, 'tv': 1, 'like': 1, 'front': 1, 'mobility': 1, 'love': 1, 'someone': 1, 'game': 1, 'best': 2, 'great': 1, 'boy': 1, 'color': 1, 'wife': 1, 'feature': 1, 'ever': 1, 'gift': 1, 'sit': 1, 'ta': 1, 'say': 1, 'size': 1, 'lol': 1, 'got': 1, 'product': 1}",0.6199999999999999
5.0,2020-01-03,Bought this for Christmas present for my adult children. Fantastic fun for the whole family. There are so many entertaining games. Highly recommend!,"['bought', 'christmas', 'present', 'adult', 'child', 'fantastic', 'fun', 'whole', 'family', 'many', 'entertaining', 'game', 'highly', 'recommend']","{'present': 1, 'fantastic': 1, 'highly': 1, 'bought': 1, 'adult': 1, 'child': 1, 'christmas': 1, 'many': 1, 'whole': 1, 'recommend': 1, 'fun': 1, 'game': 1, 'entertaining': 1, 'family': 1}",0.275
5.0,2020-01-03,"Recently bought this for a Christmas gift in 12/19. This is the total package, quite expensive, but the total package! It's probably best to buy as a package and not separately The package contained the below: - switch console - red & blue joy-cons - 2 attachments for the joy-cons with wrist attachments - HDMI cord - platform attachment for using the switch on the tv - wall charger cord","['recently', 'bought', 'christmas', 'gift', 'total', 'package', 'quite', 'expensive', 'total', 'package', 'probably', 'best', 'buy', 'package', 'separately', 'package', 'contained', 'switch', 'console', 'red', 'blue', 'attachment', 'wrist', 'attachment', 'hdmi', 'cord', 'platform', 'attachment', 'using', 'switch', 'tv', 'wall', 'charger', 'cord']","{'platform': 1, 'tv': 1, 'attachment': 3, 'separately': 1, 'hdmi': 1, 'package': 4, 'wall': 1, 'best': 1, 'red': 1, 'quite': 1, 'christmas': 1, 'expensive': 1, 'total': 2, 'gift': 1, 'probably': 1, 'switch': 2, 'recently': 1, 'charger': 1, 'wrist': 1, 'blue': 1, 'buy': 1, 'using': 1, 'cord': 2, 'console': 1, 'bought': 1, 'contained': 1}",0.07142857142857142
5.0,2020-01-03,"Girls wanted this for a while. They had saved their money, but we surprised them with it for Christmas. They love it!","['girl', 'wanted', 'saved', 'money', 'surprised', 'christmas', 'love']","{'wanted': 1, 'saved': 1, 'surprised': 1, 'love': 1, 'christmas': 1, 'money': 1, 'girl': 1}",0.3625
5.0,2020-01-03,My sons love it ! We refused to by a game console this year. This was the perfect solution. They each have one and do different things. They can play games and watch videos. It goes everywhere. It’s so neat & portable.,"['son', 'love', 'refused', 'game', 'console', 'year', 'perfect', 'solution', 'one', 'different', 'thing', 'play', 'game', 'watch', 'video', 'go', 'everywhere', 'neat', 'portable']","{'perfect': 1, 'portable': 1, 'everywhere': 1, 'neat': 1, 'one': 1, 'console': 1, 'year': 1, 'solution': 1, 'love': 1, 'different': 1, 'watch': 1, 'video': 1, 'go': 1, 'thing': 1, 'refused': 1, 'game': 2, 'play': 1, 'son': 1}",0.30625
5.0,2020-01-03,This is great! My boyfriend has been wanting one for a while so I bought him this for Christmas. It’s perfect to take around the house and not be stuck in one room!,"['great', 'boyfriend', 'wanting', 'one', 'bought', 'christmas', 'perfect', 'take', 'around', 'house', 'stuck', 'one', 'room']","{'perfect': 1, 'great': 1, 'boyfriend': 1, 'around': 1, 'take': 1, 'room': 1, 'house': 1, 'one': 2, 'wanting': 1, 'bought': 1, 'christmas': 1, 'stuck': 1}",1.0
5.0,2020-01-03,I absolutely love it. If you like the switch but don’t want to deal with all the removable controllers and stuff this is the one for you!!,"['absolutely', 'love', 'like', 'switch', 'want', 'deal', 'removable', 'controller', 'stuff', 'one']","{'stuff': 1, 'want': 1, 'like': 1, 'removable': 1, 'controller': 1, 'switch': 1, 'one': 1, 'absolutely': 1, 'love': 1, 'deal': 1}",0.78125
