Date, Price,Share return
2020/8/3,55.959999,0.017269606
2020/8/4,57.049999,0.019478199
2020/8/5,58.740002,0.029623191
2020/8/6,61.32,0.043922334
2020/8/7,59.130001,-0.035714269
2020/8/10,59.25,0.00202941
2020/8/11,58.450001,-0.013502093
2020/8/12,60.07,0.027715979
2020/8/13,59.950001,-0.001997653
2020/8/14,59.959999,0.000166772
2020/8/17,60.919998,0.016010657
2020/8/18,63.049999,0.034963905
2020/8/19,63.200001,0.002379096
2020/8/20,63.099998,-0.001582326
2020/8/21,64.309998,0.019175912
2020/8/24,68.080002,0.058622362
2020/8/25,66.400002,-0.02467685
2020/8/26,68.650002,0.033885541
2020/8/27,67.540001,-0.016168987
2020/8/28,67.239998,-0.004441857
2020/8/31,67.370003,0.001933447
2020/9/1,70.5,0.046459802
2020/9/2,70.080002,-0.005957418
2020/9/3,70.099998,0.000285331
2020/9/4,70.68,0.008273923
2020/9/8,66.760002,-0.055461205
2020/9/9,69.629997,0.042989738
2020/9/10,68.889999,-0.010627575
2020/9/11,69.989998,0.01596747
2020/9/14,70.349998,0.005143592
2020/9/15,71.379997,0.014641067
2020/9/16,71.440002,0.000840642
2020/9/17,70.519997,-0.012878009
2020/9/18,72.059998,0.021837792
2020/9/21,71.349998,-0.009852901
2020/9/22,71.5,0.002102341
2020/9/23,70.980003,-0.007272685
2020/9/24,70.199997,-0.010989095
2020/9/25,70.339996,0.001994288
2020/9/28,70.599998,0.003696361
2020/9/29,71.639999,0.014730893
2020/9/30,70.900002,-0.010329383
2020/10/1,71.300003,0.005641763
2020/10/2,69.459999,-0.025806507
2020/10/5,67.800003,-0.023898589
2020/10/6,67.68,-0.001769956
2020/10/7,68.559998,0.013002335
2020/10/8,68.849998,0.004229872
2020/10/9,68.779999,-0.001016688
2020/10/12,70.25,0.021372507
2020/10/13,70.419998,0.0024199
2020/10/14,70.269997,-0.002130091
2020/10/15,69.160004,-0.015796116
2020/10/16,68.849998,-0.004482446
2020/10/19,68.709999,-0.002033391
2020/10/20,67.940002,-0.011206477
2020/10/21,67.099998,-0.012363909
2020/10/22,66.989998,-0.001639344
2020/10/23,65.599998,-0.020749366
2020/10/26,65.459999,-0.002134131
2020/10/27,68.349998,0.044149084
2020/10/28,68.050003,-0.0043891
2020/10/29,69.540001,0.021895635
2020/10/30,67.730003,-0.026028156
2020/11/2,68.730003,0.014764505
2020/11/3,70.040001,0.01906006
2020/11/4,68.480003,-0.022272958
2020/11/5,72.699997,0.061623741
2020/11/6,70.660004,-0.028060428
2020/11/9,66.300003,-0.061703945
2020/11/10,64.410004,-0.028506771
2020/11/11,63.290001,-0.01738865
2020/11/12,64.339996,0.016590219
2020/11/13,65.529999,0.01849554
2020/11/16,63.939999,-0.024263696
2020/11/17,64.150002,0.003284376
2020/11/18,64.449997,0.004676461
2020/11/19,66.82,0.03677274
2020/11/20,66.32,-0.00748279
