"title","content","date","variant","images","verified","author","rating","product","url"
"Special Gift","This was a gift and she sends extremely happy with it.","01 Sep 2020","","","Verified Purchase","Gina","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews
"
"Greatest purchase ive order on here by far","Actuallly was a great pirchase and in so glade i bought mine when i did. The prices have gone so far up. So great purchase i really recommend this buy. Received it fast and in perfect condition.","12 Oct 2020","","","Verified Purchase","Trusted online buyer","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews
"
"Overall great system","Definitely love my switch. I think they’re pretty overpriced for what they are but an overall great system","02 Nov 2020","","","Verified Purchase","Kelsey Swazey","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews
"
"definitely value for money!","Bought this for my son and the way he is enjoying it, I must say it is value for money!  Threaten to take it away from him and he gets on his best behavior.  Lol","06 Oct 2020","","","Verified Purchase","Garfield Campbell [ DAXIE ]","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews
"
"OVER PRICED","It was way over priced do to the pandemic!!! Other then it's a great product.","07 Aug 2020","","","Verified Purchase","Turbo","4.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews
"
"I'm sure it's great. Paid 80 bucks over retail.","My son wants a switch for Xmas. I knew I had to get one before November and the holiday shopping rush. These things have been in short supply since the beginning of the year. I paid $80 more than I should have. I'm not happy about that. I'm sure it's a great system.  I just don't like paying ridiculous money for things.","24 Oct 2020","","","Verified Purchase","Brian Savage","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews
"
"No memory card included - false headline","Headline indicates it comes with a memory card but it did not.  That was one reason for paying an elevated price.","23 Sep 2020","","","Verified Purchase","Crystal R","3.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews
"
"Did not charge after 1st day","Great product! My daughter loves it! However after 1 day of use it would not charge. We are exchanging and hopefully will be able to enjoy it once again. Great value if it will charge!!","06 Oct 2020","","","Verified Purchase","Roxanne","3.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews
"
"My kid Loved it","Thought it died but was operator error. Great product, kid loves it.","21 Jul 2020","","","Verified Purchase","Jose A. Ortiz Jr.","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews
"
"Supply and demand at its best","Product as described, just overpaid.","11 Aug 2020","","","Verified Purchase","MeMay215","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews
"
